surah,missing_count,missing_ayahs
56,27,"4,5,6,15,17,20,21,22,23,28,29,30,31,32,36,37,43,47,49,50,66,77,83,86,88,90,92"
7,21,"16,20,24,44,48,61,62,107,111,115,121,123,125,138,139,165,172,175,191,192,194"
37,18,"1,2,3,22,29,30,31,41,43,91,103,104,105,143,151,161,167,168"
70,17,"1,2,11,12,13,15,17,22,23,24,29,32,33,34,36,40,43"
80,15,"1,5,8,9,13,14,15,27,28,29,30,34,35,38,40"
20,13,"1,11,17,25,27,29,30,31,33,34,36,53,82"
87,11,"2,3,4,6,8,10,11,12,14,16,18"
26,10,"1,47,57,75,147,148,185,194,198,225"
68,10,"5,10,11,12,13,17,21,23,36,37"
52,9,"1,2,3,4,5,13,25,26,27"
53,9,"5,6,13,31,33,36,42,43,45"
88,8,"12,13,14,15,17,18,19,23"
44,7,"4,25,26,38,43,45,51"
74,7,"8,12,32,33,36,40,50"
19,6,"17,31,82,85,86,90"
50,6,"9,12,23,24,25,32"
69,6,"22,30,31,38,44,45"
75,6,"7,8,9,10,14,26"
78,6,"2,14,15,21,32,33"
79,6,"10,11,18,37,38,40"
89,6,"6,7,8,9,28,29"
92,6,"5,6,8,9,15,17"
4,5,"53,70,98,155,156"
8,5,"5,7,33,62,66"
15,5,"14,28,37,61,92"
36,5,"1,5,26,34,60"
55,5,"1,3,11,22,69"
85,5,"5,6,8,17,21"
100,5,"1,2,3,4,9"
114,5,"1,2,3,4,5"
5,4,"30,45,100,111"
23,4,"57,58,60,93"
30,4,"1,2,3,4"
77,4,"5,21,25,49"
84,4,"7,10,16,17"
96,4,"3,6,9,11"
113,4,"1,2,3,4"
21,3,"13,49,96"
27,3,"16,42,93"
39,3,"39,57,58"
83,3,"4,5,35"
101,3,"4,6,8"
106,3,"1,2,3"
10,2,"7,28"
11,2,"54,96"
14,2,"10,32"
29,2,"14,38"
43,2,"25,55"
51,2,"32,33"
72,2,"1,27"
82,2,"7,11"
86,2,"6,11"
95,2,"1,2"
107,2,"4,6"
110,2,"1,2"
9,1,14
12,1,79
13,1,23
17,1,90
22,1,37
28,1,82
33,1,10
34,1,10
35,1,16
38,1,18
40,1,73
41,1,31
42,1,1
45,1,33
46,1,27
48,1,18
54,1,34
65,1,10
71,1,19
73,1,12
81,1,8
90,1,8
93,1,1
94,1,2
98,1,2
